driver,Drive,Stimulus,Fase,Heart.Rate_mean,Perinasal.Perspiration_mean,Breathing.Rate_mean,Time_max,Palm.EDA_mean,Risultato_HR,Risultato_PP,Risultato_BR
T033,5,1,fase4_Drive5,79.2156862745098,0.005423011267973856,14.933986928104575,0:11:56,102.80283464052287,5.225468883205465,0.00029123020601733423,-1.203513071895424
T033,5,0,fase5_Drive5,78.6,0.0052421558052631574,13.68157894736842,0:15:06,82.92388947368421,4.609782608695653,0.00011037474330663575,-2.455921052631579
T033,6,0,fase1_Drive6,78.0990099009901,0.004734970306930693,18.004950495049506,0:01:41,90.4941396039604,4.108792509685756,-0.00039681075502582836,1.867450495049507
T033,6,3,fase2_Drive6,84.12903225806451,0.00533544324516129,15.541290322580645,0:04:16,91.58747096774194,10.138814866760171,0.00020366218320476848,-0.5962096774193544
T033,6,0,fase3_Drive6,78.2129963898917,0.0047206254945848375,14.421299638989169,0:08:53,89.30796642599279,4.2227789985873585,-0.0004111555673716842,-1.7162003610108307
T033,6,3,fase4_Drive6,84.23841059602648,0.005378941986754967,16.011258278145693,0:11:24,83.6814105960265,10.248193204722142,0.00024716092479844503,-0.12624172185430638
T033,6,0,fase5_Drive6,74.2074074074074,0.004841916503703704,16.10148148148148,0:13:39,91.55359703703704,0.21719001610306066,-0.000289864558252818,-0.03601851851852089
T033,7,0,fase1_Drive7,78.75,0.0047097557749999994,15.528749999999999,0:01:20,90.9915075,4.759782608695659,-0.00042202528695652226,-0.6087500000000006
T033,7,5,fase2_Drive7,78.66871165644172,0.005458530711656442,20.031901840490796,0:04:03,91.2477662576687,4.678494265137374,0.00032674964969992004,3.894401840490797
T033,7,0,fase3_Drive7,74.75850340136054,0.004969578085034013,16.629931972789116,0:08:57,88.92013843537416,0.768286010056201,-0.00016220297692250835,0.49243197278911666
T033,7,5,fase4_Drive7,75.09142857142857,0.005255787394285715,18.271428571428572,0:11:52,87.16234800000001,1.1012111801242241,0.0001240063323291931,2.133928571428573
T033,7,0,fase5_Drive7,75.41768292682927,0.005201380411585366,17.396341463414632,0:17:20,81.5762131097561,1.4274655355249308,6.959934962884416e-05,1.2588414634146332
T034,4,0,loaded_drive_ND_Drive4,58.55913978494624,0.009105311647849463,14.04233870967742,0:12:24,194.00487163978497,,,
T034,5,0,fase1_Drive5,60.19718309859155,0.009988158056338028,16.756338028169015,0:01:11,158.8768661971831,1.638043313645312,0.0008828464084885655,2.713999318491595
T034,5,1,fase2_Drive5,68.28205128205128,0.011540631628205128,16.66923076923077,0:03:47,169.14890641025642,9.722911497105045,0.0024353199803556647,2.6268920595533487
T034,5,0,fase3_Drive5,63.93675889328063,0.0107923759486166,13.826086956521738,0:08:00,149.35879169960472,5.377619108334393,0.0016870643007671372,-0.21625175315568157
T034,5,1,fase4_Drive5,63.728813559322035,0.011444789774011298,14.283615819209038,0:10:57,165.47969548022598,5.169673774375795,0.002339478126161835,0.24127710953161774
T034,5,0,fase5_Drive5,61.28181818181818,0.009320671981818181,13.459999999999999,0:12:47,162.52058,2.7226783968719417,0.0002153603339687185,-0.5823387096774209
T034,7,0,fase1_Drive7,59.55714285714286,0.009022284028571428,13.280000000000001,0:01:10,160.57229285714286,0.9980030721966173,-8.302761927803451e-05,-0.7623387096774188
T034,7,5,fase2_Drive7,64.75925925925925,0.009800687209876542,17.308024691358025,0:03:52,187.10893827160496,6.200119474313013,0.0006953755620270792,3.2656859816806048
T034,7,0,fase3_Drive7,59.50847457627118,0.009309418915254237,14.38008474576271,0:07:48,223.76851059322033,0.9493347913249437,0.00020410726740477392,0.3377460360852904
T034,7,5,fase4_Drive7,62.329268292682926,0.009912295,18.52560975609756,0:10:32,258.4314054878049,3.770128507736686,0.0008069833521505369,4.483271046420139
T034,7,0,fase5_Drive7,58.65891472868217,0.009682177302325581,15.62015503875969,0:12:41,301.33957519379845,0.09977494373593032,0.0005768656544761185,1.5778163290822693
T036,4,0,loaded_drive_ND_Drive4,80.28680203045685,0.010241952739847716,15.816370558375633,0:13:09,95.84273692893402,,,
T036,5,0,fase1_Drive5,84.58227848101266,0.009164859544303797,11.725316455696202,0:01:19,141.94111518987341,4.29547645055581,-0.001077093195543919,-4.091054102679431
T036,5,1,fase2_Drive5,84.22012578616352,0.015377740817610062,22.665408805031447,0:03:58,94.96922893081762,3.9333237557066667,0.005135788077762346,6.849038246655814
T036,5,0,fase3_Drive5,82.59163987138264,0.010759638173633441,19.909324758842445,0:09:09,101.74398263665594,2.304837840925785,0.0005176854337857247,4.092954200466812
T036,5,1,fase4_Drive5,82.47741935483872,0.014532242948387097,17.27548387096774,0:11:44,89.81687677419356,2.1906173243818614,0.004290290208539381,1.4591133125921072
T036,5,0,fase5_Drive5,84.10309278350516,0.01383254570103093,20.584536082474227,0:13:21,86.45453195876289,3.816290753048307,0.003590592961183213,4.768165524098594
T036,6,0,fase1_Drive6,82.77922077922078,0.010859110272727273,23.25064935064935,0:01:17,109.99774545454545,2.4924187487639244,0.0006171575328795566,7.434278792273718
T036,6,3,fase2_Drive6,81.8159509202454,0.013364543779141104,25.933742331288343,0:04:00,96.00335398773007,1.5291488897885444,0.003122591039293387,10.11737177291271
T036,6,0,fase3_Drive6,80.31063829787234,0.011968656408510638,17.102978723404256,0:07:55,88.44461021276597,0.023836267415489942,0.0017267036686629215,1.286608165028623
T036,6,3,fase4_Drive6,81.35031847133757,0.010625523573248407,21.02356687898089,0:10:32,89.20751401273886,1.0635164408807185,0.0003835708334006902,5.207196320605258
T036,6,0,fase5_Drive6,81.34210526315789,0.008792355289473685,19.24298245614035,0:12:26,90.30327105263157,1.0553032327010357,-0.0014495974503740319,3.426611897764717
T036,7,0,fase1_Drive7,83.48571428571428,0.012144068885714286,15.56,0:01:10,86.63598,3.198912255257426,0.0019021161458665694,-0.2563705583756324
T036,7,5,fase2_Drive7,84.51552795031056,0.014848074093167702,22.45465838509317,0:03:51,94.48318509316769,4.2287259198537015,0.004606121353319986,6.638287826717535
T036,7,0,fase3_Drive7,82.18106995884774,0.011923152028806583,17.983539094650205,0:07:54,95.82477860082305,1.8942679283908888,0.0016811992889588668,2.1671685362745716
